"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","success","value","left_img","right_img","left_right_s1","reward_s1","reward_s2","selected_side","selected_img","reward_given"
"1921","<p><span style='font-size:20pt;'>研究に参加いただき，ありがとうございます!!!</span></p><p>キーボードのキーをどれか押して，開始してください</p>"," ","html-keyboard-response","0","2.1.0","1923","","","","","","","","","",""
"861","","","fullscreen","1","2.1.0","3787","true","","","","","","","","",""
"","","","call-function","2","2.1.0","3787","","","","","","","","","",""
"7448","
    <div style=""text-align: center;"">
      <img src=""probabilistic-reversal-learning/stimuli/rl_instruction.svg"" width=""800px"">
    </div>","ArrowRight","html-keyboard-response","3","2.1.0","11236","","","","","","","","","",""
"1206","
      <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
      <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s1.svg' width='300px'/>
      </button>
      <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
        ＋
      </div>
      <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s2.svg' width='300px'/>
      </button>
    　</div>","ArrowLeft","html-keyboard-response","4","2.1.0","12444","","","s1.svg","s2.svg","1","0","1","left","s1.svg","punishment.svg"
"null","
          <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
          <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s1s.svg' width='300px'/>
          </button>
          <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
          ＋
          </div>
          <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s2.svg' width='300px'/>
          </button>
    　    </div>","null","html-keyboard-response","5","2.1.0","12946","","","","","","","","","",""
"null","<img src='probabilistic-reversal-learning/stimuli/punishment.svg' width='350px'/>","null","html-keyboard-response","6","2.1.0","13950","","","","","","","","","",""
"null","
          <div style='display: flex; justify-content: space-between; align-items: center; width: 600px; margin: auto; position: relative;'>
          <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
          ＋
          </div>
    　    </div>","null","html-keyboard-response","7","2.1.0","14636","","","","","","","","","",""
"964","
      <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
      <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s2.svg' width='300px'/>
      </button>
      <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
        ＋
      </div>
      <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s1.svg' width='300px'/>
      </button>
    　</div>","ArrowLeft","html-keyboard-response","8","2.1.0","15602","","","s2.svg","s1.svg","2","0","1","left","s2.svg","reward.svg"
"null","
          <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
          <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s2s.svg' width='300px'/>
          </button>
          <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
          ＋
          </div>
          <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s1.svg' width='300px'/>
          </button>
    　    </div>","null","html-keyboard-response","9","2.1.0","16105","","","","","","","","","",""
"null","<img src='probabilistic-reversal-learning/stimuli/reward.svg' width='350px'/>","null","html-keyboard-response","10","2.1.0","17108","","","","","","","","","",""
"null","
          <div style='display: flex; justify-content: space-between; align-items: center; width: 600px; margin: auto; position: relative;'>
          <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
          ＋
          </div>
    　    </div>","null","html-keyboard-response","11","2.1.0","17778","","","","","","","","","",""
"436","
      <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
      <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s1.svg' width='300px'/>
      </button>
      <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
        ＋
      </div>
      <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
        <img src='probabilistic-reversal-learning/stimuli/s2.svg' width='300px'/>
      </button>
    　</div>","ArrowRight","html-keyboard-response","12","2.1.0","18216","","","s1.svg","s2.svg","1","0","1","right","s2.svg","reward.svg"
"null","
          <div style='display: flex; justify-content: space-between; align-items: center; width: 800px; margin: auto; position: relative;'>
          <button id='left' style='border: none; background: none; position: absolute; left: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s1.svg' width='300px'/>
          </button>
          <div style='position: absolute; left: 50%; transform: translateX(-50%); font-size: 32px; font-weight: bold;'>
          ＋
          </div>
          <button id='right' style='border: none; background: none; position: absolute; right: 0;'>
          <img src='probabilistic-reversal-learning/stimuli/s2s.svg' width='300px'/>
          </button>
    　    </div>","null","html-keyboard-response","13","2.1.0","18718","","","","","","","","","",""
